Date,Time,Analog_Voltage
##########
2018-11-30,14:44:22:783724,0.03
2018-11-30,14:45:21:783776,0.04
2018-11-30,14:46:20:786884,0.03
2018-11-30,14:47:19:790392,0.02
2018-11-30,14:48:18:789650,0.02
2018-11-30,14:49:17:792520,0.04
2018-11-30,14:50:16:793374,0.03
2018-11-30,14:51:15:795096,0.03
