Date,Time,Temp(Celsius),Humidity,crc_check
##########
2018-11-15,17:44:20:548011,22.7,22.7,1
2018-11-15,17:45:19:550948,22.7,22.8,1
2018-11-15,17:46:18:569967,22.7,22.8,1
2018-11-15,17:47:17:571488,22.8,22.8,1
2018-11-15,17:48:16:573100,22.7,22.7,1
2018-11-15,17:49:15:575074,22.7,22.4,1
2018-11-15,17:50:14:576146,22.7,22.4,1
2018-11-15,17:51:13:577770,22.8,22.3,1
2018-11-15,17:52:12:579338,22.7,22.3,1
2018-11-15,17:53:11:581480,22.7,22.5,1
2018-11-15,17:54:10:580366,22.7,22.5,1
2018-11-15,17:55:09:584287,22.8,22.5,1
