Date,Time,Analog_Voltage
##########
2018-11-15,17:44:20:548011,0.50
2018-11-15,17:45:19:550948,0.49
2018-11-15,17:46:18:569967,0.50
2018-11-15,17:47:17:571488,0.50
2018-11-15,17:48:16:573100,0.49
2018-11-15,17:49:15:575074,0.50
2018-11-15,17:50:14:576146,0.49
2018-11-15,17:51:13:577770,0.49
2018-11-15,17:52:12:579338,0.50
2018-11-15,17:53:11:581480,0.49
2018-11-15,17:54:10:580366,0.49
2018-11-15,17:55:09:584287,0.50
