Date,Time,Analog_Voltage
##########
2018-11-15,16:13:45:783580,0.00
2018-11-15,16:14:44:786177,0.54
2018-11-15,16:15:43:788752,0.57
2018-11-15,16:16:42:789716,0.59
2018-11-15,16:17:41:808431,0.59
2018-11-15,16:18:40:809306,0.60
2018-11-15,16:19:39:828480,0.59
2018-11-15,16:20:38:830547,0.57
2018-11-15,16:21:37:831919,0.56
2018-11-15,16:22:36:849938,0.56
2018-11-15,16:23:35:851528,0.56
